Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VAW-VPU,0.11529121777678587,0.077651802311285,0.8408203780647762,2.6400431349313145,-0.07933901857957582,0.25227911965174976,VAW,VPU,ewma,5
VDE-VPU,0.10976450457775906,0.10346298364407457,0.5776414179524957,1.910357170656714,-0.1383895347363665,0.23274605891844935,VDE,VPU,adaptive,5
VDE-VIS,0.09182689449932256,0.08248111796373243,0.5071087241775049,2.033284528654494,-0.09967328218110005,0.19386176478196937,VDE,VIS,ewma,5
VCR-VHT,0.09530781311870815,0.09039281819822365,0.501232443260615,2.080518025071866,-0.08237722738788955,0.20059550719931618,VCR,VHT,adaptive,10
VAW-VDE,0.0874369936268635,0.09082945569873005,0.41216798382055025,1.6300754450860946,-0.10032162071956874,0.18168628861442793,VAW,VDE,standard,10
VDE-VIS,0.08384177286137448,0.08445942515996631,0.40068675339996856,1.7413044320202535,-0.11789168947951678,0.174524342360453,VDE,VIS,adaptive,5
VDE-VDC,0.09008206183540995,0.10181543545485605,0.39367372595663064,1.6726645862730514,-0.16016122456309312,0.18550965593883317,VDE,VDC,adaptive,5
VDE-VNQ,0.08585257694531254,0.09669975439851636,0.3707618201133991,1.631675064136961,-0.15344357972819622,0.17667592211888206,VDE,VNQ,adaptive,5
VNQ-VGT,0.08777597633723169,0.1068605294525057,0.3535072915207796,1.319133536092836,-0.14410883544900088,0.17872867838826512,VNQ,VGT,ewma,20
VDE-VOX,0.08429326683065652,0.10096180547980321,0.33966574456235077,1.4290242003426183,-0.11640940713846559,0.1719954394899026,VDE,VOX,adaptive,5
VAW-VOX,0.07337540375862288,0.07128785552334173,0.32790162625903535,1.929400837573007,-0.12170016878656065,0.15252037101666405,VAW,VOX,ewma,5
VDE-VAW,0.0774033262468388,0.0870727953943288,0.3147174283625178,1.5565396197088042,-0.14773874963932998,0.15895257178154143,VDE,VAW,adaptive,5
VAW-VHT,0.06816005525513998,0.06541914020891972,0.277595443736265,1.8772959076199642,-0.059509742937625676,0.14144893549997684,VAW,VHT,ewma,5
VNQ-VGT,0.07867516065282895,0.11336024356757482,0.2529560606998481,1.1582556049828803,-0.2062382572334187,0.15580994640346857,VNQ,VGT,standard,15
VDE-VPU,0.07698193800382683,0.10743224969454442,0.2511530576762845,1.3881592257277116,-0.08849488656302162,0.1534404032329162,VDE,VPU,standard,5
VHT-VNQ,0.06329063272251523,0.06197463600466993,0.21445277583419414,1.763266889582507,-0.04132414448893251,0.13085996915548792,VHT,VNQ,standard,15
VDE-VHT,0.07008534013533887,0.09958100948914946,0.20169849892441055,1.2476247507504745,-0.19629882940579724,0.13943847832375744,VDE,VHT,adaptive,5
VCR-VGT,0.062196555754453466,0.07499305541057603,0.16263580257770735,1.378714595814736,-0.0550177220167577,0.12636767762528045,VCR,VGT,ewma,20
