processed_date,composite_ticker,constituent_name,market_value,us_code,country_of_exchange,shares_held,currency_traded,constituent_rank,effective_date,requested_date,requested_year,weight,constituent_ticker,isin,sedol,asset_class,security_type,figi,exchange
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,20,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,19,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,7,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,18,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,17,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,16,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,12,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,5,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,4,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,1,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,3,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,15,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,14,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,22,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,11,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,6,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,50086977.61,924QSGII3,US,50086977.61,USD,75,2017-12-29,2018-01-01,2018,0.0025772132,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,185.23,924QSGII3,US,185.23,USD,99,2017-12-29,2018-01-01,2018,9.5e-09,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,9,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,8,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,13,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XLK,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,1285.88,924QSGII3,US,1285.88,USD,98,2017-12-29,2018-01-01,2018,6.62e-08,,,,,,,
