processed_date,composite_ticker,constituent_name,market_value,us_code,country_of_exchange,shares_held,currency_traded,constituent_rank,effective_date,requested_date,requested_year,weight,constituent_ticker,isin,figi,sedol,exchange,asset_class,security_type
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,17,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,4,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,12,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,27,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,21,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,28,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,176122.5,924QSGII3,US,176122.5,USD,121,2017-12-29,2018-01-01,2018,0.0002744642,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,11,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,1,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,24,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,6,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,10,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,26,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,23,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,48411.99,924QSGII3,US,48411.99,USD,124,2017-12-29,2018-01-01,2018,7.54438e-05,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,9,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,2,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,19,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,5,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,20,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,84135.51,924QSGII3,US,84135.51,USD,123,2017-12-29,2018-01-01,2018,0.0001311143,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,7,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,13,2017-12-29,2018-01-01,2018,,,,,,,,
2017-12-29,XRT,SSI US GOV MONEY MARKET CLASS STATE STREET INST US GOV,0.0,924QSGII3,US,0.0,USD,8,2017-12-29,2018-01-01,2018,,,,,,,,
